t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684713632,5266,447,2.950389,0,16.057300,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713662,5296,447,2.946498,0,16.057590,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713692,5344,447,2.944553,0,16.058493,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713722,5374,447,2.935798,0,16.058127,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713752,5422,447,2.946498,0,16.057530,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713782,5452,447,2.944553,0,16.056795,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713812,5500,447,2.935798,0,16.058067,1.000000,3.000000,9.550000,16.000000,22.710000,440.446000
1684713842,5530,447,2.881323,0,15.993229,1.000000,3.000000,9.000000,15.420000,21.420000,440.446000
1684713872,5566,447,2.858949,0,15.974314,1.000000,3.000000,9.000000,15.000000,19.710000,440.446000
1684713902,5608,447,2.852140,0,15.973064,1.000000,3.000000,9.000000,15.000000,19.710000,440.446000
1684713932,5634,447,2.852140,0,15.973308,1.000000,3.000000,9.000000,15.000000,19.710000,440.446000
1684713962,5686,447,2.842412,0,15.973642,1.000000,2.000000,9.000000,15.000000,19.710000,440.446000
1684713992,5712,447,2.814202,0,15.967333,1.000000,2.000000,9.000000,15.000000,19.710000,440.446000
1684714022,5764,447,2.804475,0,15.968131,1.000000,2.000000,9.000000,15.000000,19.710000,440.446000
1684714052,5790,447,2.797665,0,15.966186,1.000000,2.000000,9.000000,15.000000,19.710000,440.446000
1684714082,5842,447,2.785992,0,15.965973,1.000000,2.000000,9.000000,15.000000,19.710000,440.446000
1684714112,5868,447,2.746109,0,15.908781,1.000000,2.000000,9.000000,15.000000,18.710000,440.446000
1684714142,5920,447,2.729572,0,15.905234,1.000000,2.000000,9.000000,15.000000,18.710000,440.446000
1684714172,5946,447,2.727626,0,15.905445,1.000000,2.000000,9.000000,15.000000,18.710000,440.446000
1684714202,5998,447,2.735409,0,15.905944,1.000000,2.000000,9.000000,15.000000,18.710000,440.446000
1684714232,6024,447,2.713035,0,15.899463,1.000000,2.000000,8.550000,15.000000,18.710000,440.446000
1684714262,6076,447,2.704280,0,15.896945,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714292,6102,447,2.702335,0,15.897215,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714322,6154,447,2.698444,0,15.896774,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714352,6180,447,2.680934,0,15.894043,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714382,6232,447,2.669261,0,15.893988,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714412,6258,447,2.666342,0,15.894018,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714442,6310,447,2.660506,0,15.893895,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714472,6336,447,2.647860,0,15.891567,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714502,6388,447,2.643969,0,15.892031,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714532,6414,447,2.643969,0,15.890561,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714562,6466,447,2.622568,0,15.884796,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714592,6492,447,2.612840,0,15.885481,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
1684714622,6544,447,2.610895,0,15.885678,1.000000,2.000000,8.000000,15.000000,18.710000,440.446000
